Plant_ID,Chamber_Shelf,Endo_Treatment,Parasite_Treatment,Endo_Confirmed,Endo_Cat
2,Bert_Bottom_3,Free,Colletotrichum,Free,FreeFree
3,Ernie_Bottom_1,Free,CR,Free,FreeFree
4,Bert_Bottom_1,Free,Rhizoctonia,Free,FreeFree
5,Bert_Top_1,Free,CONTROL,Free,FreeFree
6,Ernie_Top_3,Free,CR,Free,FreeFree
7,Bert_Top_3,Free,Colletotrichum,Free,FreeFree
8,Ernie_Bottom_2,Free,Rhizoctonia,Free,FreeFree
9,Ernie_Bottom_3,Free,Rhizoctonia,Free,FreeFree
12,Ernie_Top_2,Free,CR,Free,FreeFree
13,Bert_Top_2,Free,Colletotrichum,Free,FreeFree
16,Ernie_Top_1,Free,Rhizoctonia,Free,FreeFree
17,Ernie_Bottom_2,Free,CR,Free,FreeFree
18,Bert_Top_1,Free,Rhizoctonia,Free,FreeFree
20,Bert_Top_3,Free,Rhizoctonia,Free,FreeFree
21,Ernie_Bottom_3,Free,Colletotrichum,Free,FreeFree
22,Ernie_Top_1,Free,Colletotrichum,Free,FreeFree
25,Bert_Top_3,Free,CR,Free,FreeFree
26,Bert_Bottom_1,Inoculated,CR,Confirmed,InoculatedConfirmed
27,Bert_Top_2,Inoculated,Rhizoctonia,Confirmed,InoculatedConfirmed
28,Bert_Bottom_3,Inoculated,CR,Confirmed,InoculatedConfirmed
29,Bert_Bottom_2,Inoculated,CR,Confirmed,InoculatedConfirmed
30,Bert_Top_3,Inoculated,Rhizoctonia,Free,InoculatedFree
31,Bert_Bottom_1,Inoculated,CONTROL,Free,InoculatedFree
32,Bert_Bottom_3,Inoculated,Colletotrichum,Confirmed,InoculatedConfirmed
33,Ernie_Top_1,Inoculated,Rhizoctonia,Confirmed,InoculatedConfirmed
34,Ernie_Top_1,Inoculated,CONTROL,Confirmed,InoculatedConfirmed
35,Bert_Bottom_2,Inoculated,Rhizoctonia,Confirmed,InoculatedConfirmed
36,Bert_Bottom_3,Inoculated,Colletotrichum,Free,InoculatedFree
37,Bert_Bottom_2,Inoculated,CR,Confirmed,InoculatedConfirmed
38,Bert_Top_2,Inoculated,Rhizoctonia,Free,InoculatedFree
40,Bert_Top_2,Inoculated,Colletotrichum,Free,InoculatedFree
41,Ernie_Top_1,Inoculated,Colletotrichum,Confirmed,InoculatedConfirmed
42,Bert_Bottom_2,Inoculated,Colletotrichum,Confirmed,InoculatedConfirmed
43,Bert_Bottom_1,Inoculated,CR,Confirmed,InoculatedConfirmed
44,Ernie_Top_3,Inoculated,Rhizoctonia,Free,InoculatedFree
45,Bert_Bottom_2,Inoculated,Rhizoctonia,Confirmed,InoculatedConfirmed
46,Ernie_Bottom_3,Inoculated,CR,Free,InoculatedFree
47,Bert_Top_1,Inoculated,CONTROL,Free,InoculatedFree
48,Bert_Top_1,Inoculated,Colletotrichum,Free,InoculatedFree
49,Ernie_Bottom_2,Inoculated,CR,Confirmed,InoculatedConfirmed
50,Bert_Bottom_3,Inoculated,CR,Confirmed,InoculatedConfirmed
51,Bert_Bottom_3,Free,CR,Free,FreeFree
52,Ernie_Top_3,Free,Colletotrichum,Free,FreeFree
53,Ernie_Top_3,Free,Colletotrichum,Free,FreeFree
54,Bert_Bottom_3,Free,Rhizoctonia,Free,FreeFree
56,Bert_Top_1,Free,Colletotrichum,Free,FreeFree
57,Ernie_Top_3,Free,Rhizoctonia,Free,FreeFree
58,Bert_Top_2,Free,Colletotrichum,Free,FreeFree
59,Bert_Top_2,Free,Colletotrichum,Free,FreeFree
60,Bert_Bottom_3,Free,CR,Free,FreeFree
61,Bert_Bottom_2,Free,CR,Free,FreeFree
62,Bert_Bottom_2,Free,CONTROL,Free,FreeFree
63,Ernie_Bottom_2,Free,CR,Free,FreeFree
64,Bert_Bottom_2,Free,Rhizoctonia,Free,FreeFree
65,Bert_Bottom_1,Free,CR,Free,FreeFree
66,Bert_Bottom_1,Free,Rhizoctonia,Free,FreeFree
67,Ernie_Top_3,Free,Rhizoctonia,Free,FreeFree
68,Ernie_Bottom_1,Free,Rhizoctonia,Free,FreeFree
69,Bert_Bottom_1,Free,Colletotrichum,Free,FreeFree
70,Ernie_Bottom_3,Free,Colletotrichum,Free,FreeFree
71,Bert_Bottom_3,Free,Colletotrichum,Free,FreeFree
72,Ernie_Top_1,Free,CR,Free,FreeFree
73,Ernie_Bottom_2,Free,Rhizoctonia,Free,FreeFree
75,Bert_Top_2,Free,Rhizoctonia,Free,FreeFree
76,Bert_Top_1,Free,Rhizoctonia,Free,FreeFree
77,Ernie_Bottom_1,Free,CR,Free,FreeFree
78,Ernie_Top_2,Free,Colletotrichum,Free,FreeFree
79,Bert_Top_1,Free,CR,Free,FreeFree
81,Ernie_Top_2,Free,Rhizoctonia,Free,FreeFree
82,Ernie_Top_2,Free,CONTROL,Free,FreeFree
83,Bert_Bottom_3,Free,CR,Free,FreeFree
84,Ernie_Top_2,Free,Colletotrichum,Free,FreeFree
86,Ernie_Top_1,Free,CR,Free,FreeFree
87,Bert_Top_3,Free,CR,Free,FreeFree
88,Ernie_Bottom_3,Free,CONTROL,Free,FreeFree
92,Ernie_Bottom_3,Inoculated,Rhizoctonia,Confirmed,InoculatedConfirmed
93,Ernie_Bottom_3,Inoculated,CONTROL,Confirmed,InoculatedConfirmed
94,Ernie_Top_2,Inoculated,Colletotrichum,Free,InoculatedFree
95,Ernie_Top_2,Inoculated,CR,Confirmed,InoculatedConfirmed
96,Bert_Top_1,Inoculated,CR,Free,InoculatedFree
97,Bert_Top_2,Inoculated,CR,Free,InoculatedFree
98,Ernie_Bottom_1,Inoculated,Rhizoctonia,Confirmed,InoculatedConfirmed
99,Bert_Top_3,Inoculated,CR,Confirmed,InoculatedConfirmed
100,Ernie_Top_1,Inoculated,Colletotrichum,Confirmed,InoculatedConfirmed
101,Ernie_Top_3,Inoculated,Rhizoctonia,Free,InoculatedFree
102,Ernie_Bottom_1,Inoculated,Rhizoctonia,Free,InoculatedFree
103,Ernie_Top_3,Inoculated,Rhizoctonia,Confirmed,InoculatedConfirmed
105,Ernie_Bottom_3,Inoculated,CR,Confirmed,InoculatedConfirmed
106,Bert_Bottom_2,Inoculated,Colletotrichum,Confirmed,InoculatedConfirmed
107,Ernie_Bottom_2,Inoculated,Rhizoctonia,Confirmed,InoculatedConfirmed
108,Bert_Top_2,Inoculated,CR,Confirmed,InoculatedConfirmed
109,Bert_Bottom_2,Inoculated,Colletotrichum,Confirmed,InoculatedConfirmed
110,Ernie_Bottom_1,Inoculated,Rhizoctonia,Free,InoculatedFree
111,Bert_Top_3,Inoculated,Colletotrichum,Confirmed,InoculatedConfirmed
112,Ernie_Top_1,Inoculated,Colletotrichum,Free,InoculatedFree
113,Bert_Bottom_2,Inoculated,Colletotrichum,Confirmed,InoculatedConfirmed
114,Ernie_Top_2,Inoculated,Rhizoctonia,Free,InoculatedFree
115,Ernie_Bottom_3,Inoculated,Rhizoctonia,Confirmed,InoculatedConfirmed
116,Ernie_Top_2,Inoculated,Rhizoctonia,Confirmed,InoculatedConfirmed
117,Bert_Bottom_1,Inoculated,Colletotrichum,Free,InoculatedFree
118,Ernie_Top_3,Inoculated,Rhizoctonia,Confirmed,InoculatedConfirmed
119,Bert_Top_3,Inoculated,Colletotrichum,Confirmed,InoculatedConfirmed
121,Bert_Bottom_3,Inoculated,CR,Free,InoculatedFree
122,Bert_Bottom_1,Inoculated,Colletotrichum,Confirmed,InoculatedConfirmed
123,Bert_Top_3,Inoculated,CR,Confirmed,InoculatedConfirmed
124,Ernie_Bottom_1,Inoculated,Colletotrichum,Free,InoculatedFree
125,Ernie_Top_3,Inoculated,CR,Confirmed,InoculatedConfirmed
126,Ernie_Top_2,Inoculated,Colletotrichum,Confirmed,InoculatedConfirmed
127,Bert_Bottom_1,Inoculated,Rhizoctonia,Confirmed,InoculatedConfirmed
128,Ernie_Bottom_1,Inoculated,Colletotrichum,Confirmed,InoculatedConfirmed
129,Ernie_Bottom_2,Inoculated,CR,Free,InoculatedFree
130,Bert_Top_2,Inoculated,CR,Confirmed,InoculatedConfirmed
131,Bert_Top_3,Inoculated,Rhizoctonia,Confirmed,InoculatedConfirmed
133,Bert_Top_1,Inoculated,Colletotrichum,Confirmed,InoculatedConfirmed
134,Bert_Bottom_1,Inoculated,CR,Free,InoculatedFree
135,Bert_Top_3,Inoculated,Rhizoctonia,Confirmed,InoculatedConfirmed
136,Bert_Top_1,Inoculated,Colletotrichum,Confirmed,InoculatedConfirmed
137,Bert_Top_1,Inoculated,Rhizoctonia,Free,InoculatedFree
138,Ernie_Bottom_2,Inoculated,CR,Free,InoculatedFree
139,Ernie_Bottom_2,Inoculated,Colletotrichum,Free,InoculatedFree
140,Bert_Top_2,Inoculated,Colletotrichum,Free,InoculatedFree
141,Ernie_Top_3,Inoculated,CR,Free,InoculatedFree